dt,Цена на арматуру,year,month,week,day_of_week,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_roll_mean_2,price_roll_mean_4
2015-08-17,24400,2015,8,34,0,24700.0,25000.0,25200.0,25400.0,24550.0,24825.0
2015-08-24,24100,2015,8,35,0,24400.0,24700.0,25000.0,25200.0,24250.0,24550.0
2015-08-31,24100,2015,8,36,0,24100.0,24400.0,24700.0,25000.0,24100.0,24325.0
2015-09-07,23900,2015,9,37,0,24100.0,24100.0,24400.0,24700.0,24000.0,24125.0
2015-09-14,24200,2015,9,38,0,23900.0,24100.0,24100.0,24400.0,24050.0,24075.0
2015-09-21,24200,2015,9,39,0,24200.0,23900.0,24100.0,24100.0,24200.0,24100.0
2015-09-28,24000,2015,9,40,0,24200.0,24200.0,23900.0,24100.0,24100.0,24075.0
2015-10-05,24000,2015,10,41,0,24000.0,24200.0,24200.0,23900.0,24000.0,24100.0
2015-10-12,23800,2015,10,42,0,24000.0,24000.0,24200.0,24200.0,23900.0,24000.0
2015-10-19,23800,2015,10,43,0,23800.0,24000.0,24000.0,24200.0,23800.0,23900.0
2015-10-26,24200,2015,10,44,0,23800.0,23800.0,24000.0,24000.0,24000.0,23950.0
2015-11-02,24500,2015,11,45,0,24200.0,23800.0,23800.0,24000.0,24350.0,24075.0
2015-11-09,24500,2015,11,46,0,24500.0,24200.0,23800.0,23800.0,24500.0,24250.0
2015-11-16,23950,2015,11,47,0,24500.0,24500.0,24200.0,23800.0,24225.0,24287.5
2015-11-23,23750,2015,11,48,0,23950.0,24500.0,24500.0,24200.0,23850.0,24175.0
2015-11-30,23100,2015,11,49,0,23750.0,23950.0,24500.0,24500.0,23425.0,23825.0
2015-12-07,22800,2015,12,50,0,23100.0,23750.0,23950.0,24500.0,22950.0,23400.0
2015-12-14,22000,2015,12,51,0,22800.0,23100.0,23750.0,23950.0,22400.0,22912.5
2015-12-21,21700,2015,12,52,0,22000.0,22800.0,23100.0,23750.0,21850.0,22400.0
2015-12-28,21300,2015,12,53,0,21700.0,22000.0,22800.0,23100.0,21500.0,21950.0
2016-01-04,21300,2016,1,1,0,21300.0,21700.0,22000.0,22800.0,21300.0,21575.0
2016-01-11,21300,2016,1,2,0,21300.0,21300.0,21700.0,22000.0,21300.0,21400.0
2016-01-18,21200,2016,1,3,0,21300.0,21300.0,21300.0,21700.0,21250.0,21275.0
2016-01-25,21000,2016,1,4,0,21200.0,21300.0,21300.0,21300.0,21100.0,21200.0
2016-02-01,21000,2016,2,5,0,21000.0,21200.0,21300.0,21300.0,21000.0,21125.0
2016-02-08,21000,2016,2,6,0,21000.0,21000.0,21200.0,21300.0,21000.0,21050.0
2016-02-15,21200,2016,2,7,0,21000.0,21000.0,21000.0,21200.0,21100.0,21050.0
2016-02-22,21800,2016,2,8,0,21200.0,21000.0,21000.0,21000.0,21500.0,21250.0
2016-02-29,22450,2016,2,9,0,21800.0,21200.0,21000.0,21000.0,22125.0,21612.5
2016-03-07,23300,2016,3,10,0,22450.0,21800.0,21200.0,21000.0,22875.0,22187.5
2016-03-14,23800,2016,3,11,0,23300.0,22450.0,21800.0,21200.0,23550.0,22837.5
2016-03-21,25500,2016,3,12,0,23800.0,23300.0,22450.0,21800.0,24650.0,23762.5
2016-03-28,26700,2016,3,13,0,25500.0,23800.0,23300.0,22450.0,26100.0,24825.0
2016-04-04,29900,2016,4,14,0,26700.0,25500.0,23800.0,23300.0,28300.0,26475.0
2016-04-11,29950,2016,4,15,0,29900.0,26700.0,25500.0,23800.0,29925.0,28012.5
2016-04-18,31500,2016,4,16,0,29950.0,29900.0,26700.0,25500.0,30725.0,29512.5
2016-04-25,31900,2016,4,17,0,31500.0,29950.0,29900.0,26700.0,31700.0,30812.5
2016-05-02,40300,2016,5,18,0,31900.0,31500.0,29950.0,29900.0,36100.0,33412.5
2016-05-09,43500,2016,5,19,0,40300.0,31900.0,31500.0,29950.0,41900.0,36800.0
2016-05-16,43350,2016,5,20,0,43500.0,40300.0,31900.0,31500.0,43425.0,39762.5
2016-05-23,42950,2016,5,21,0,43350.0,43500.0,40300.0,31900.0,43150.0,42525.0
2016-05-30,42000,2016,5,22,0,42950.0,43350.0,43500.0,40300.0,42475.0,42950.0
2016-06-06,38300,2016,6,23,0,42000.0,42950.0,43350.0,43500.0,40150.0,41650.0
2016-06-13,37500,2016,6,24,0,38300.0,42000.0,42950.0,43350.0,37900.0,40187.5
2016-06-20,36800,2016,6,25,0,37500.0,38300.0,42000.0,42950.0,37150.0,38650.0
2016-06-27,35400,2016,6,26,0,36800.0,37500.0,38300.0,42000.0,36100.0,37000.0
2016-07-04,34400,2016,7,27,0,35400.0,36800.0,37500.0,38300.0,34900.0,36025.0
2016-07-11,33400,2016,7,28,0,34400.0,35400.0,36800.0,37500.0,33900.0,35000.0
2016-07-18,32500,2016,7,29,0,33400.0,34400.0,35400.0,36800.0,32950.0,33925.0
2016-07-25,32000,2016,7,30,0,32500.0,33400.0,34400.0,35400.0,32250.0,33075.0
2016-08-01,31000,2016,8,31,0,32000.0,32500.0,33400.0,34400.0,31500.0,32225.0
2016-08-08,30200,2016,8,32,0,31000.0,32000.0,32500.0,33400.0,30600.0,31425.0
2016-08-15,29200,2016,8,33,0,30200.0,31000.0,32000.0,32500.0,29700.0,30600.0
2016-08-22,28850,2016,8,34,0,29200.0,30200.0,31000.0,32000.0,29025.0,29812.5
2016-08-29,28700,2016,8,35,0,28850.0,29200.0,30200.0,31000.0,28775.0,29237.5
2016-09-05,28500,2016,9,36,0,28700.0,28850.0,29200.0,30200.0,28600.0,28812.5
2016-09-12,30000,2016,9,37,0,28500.0,28700.0,28850.0,29200.0,29250.0,29012.5
2016-09-19,32000,2016,9,38,0,30000.0,28500.0,28700.0,28850.0,31000.0,29800.0
2016-09-26,32500,2016,9,39,0,32000.0,30000.0,28500.0,28700.0,32250.0,30750.0
2016-10-03,33300,2016,10,40,0,32500.0,32000.0,30000.0,28500.0,32900.0,31950.0
2016-10-10,34300,2016,10,41,0,33300.0,32500.0,32000.0,30000.0,33800.0,33025.0
2016-10-17,33700,2016,10,42,0,34300.0,33300.0,32500.0,32000.0,34000.0,33450.0
2016-10-24,32200,2016,10,43,0,33700.0,34300.0,33300.0,32500.0,32950.0,33375.0
2016-10-31,30400,2016,10,44,0,32200.0,33700.0,34300.0,33300.0,31300.0,32650.0
2016-11-07,30200,2016,11,45,0,30400.0,32200.0,33700.0,34300.0,30300.0,31625.0
2016-11-14,29800,2016,11,46,0,30200.0,30400.0,32200.0,33700.0,30000.0,30650.0
2016-11-21,33500,2016,11,47,0,29800.0,30200.0,30400.0,32200.0,31650.0,30975.0
2016-11-28,33500,2016,11,48,0,33500.0,29800.0,30200.0,30400.0,33500.0,31750.0
2016-12-05,33500,2016,12,49,0,33500.0,33500.0,29800.0,30200.0,33500.0,32575.0
2016-12-12,33500,2016,12,50,0,33500.0,33500.0,33500.0,29800.0,33500.0,33500.0
2016-12-19,33000,2016,12,51,0,33500.0,33500.0,33500.0,33500.0,33250.0,33375.0
2016-12-26,32500,2016,12,52,0,33000.0,33500.0,33500.0,33500.0,32750.0,33125.0
2017-01-02,33750,2017,1,1,0,32500.0,33000.0,33500.0,33500.0,33125.0,33187.5
2017-01-09,33750,2017,1,2,0,33750.0,32500.0,33000.0,33500.0,33750.0,33250.0
2017-01-16,33750,2017,1,3,0,33750.0,33750.0,32500.0,33000.0,33750.0,33437.5
2017-01-23,33750,2017,1,4,0,33750.0,33750.0,33750.0,32500.0,33750.0,33750.0
2017-01-30,33000,2017,1,5,0,33750.0,33750.0,33750.0,33750.0,33375.0,33562.5
2017-02-06,32600,2017,2,6,0,33000.0,33750.0,33750.0,33750.0,32800.0,33275.0
2017-02-13,32000,2017,2,7,0,32600.0,33000.0,33750.0,33750.0,32300.0,32837.5
2017-02-20,31300,2017,2,8,0,32000.0,32600.0,33000.0,33750.0,31650.0,32225.0
2017-02-27,30300,2017,2,9,0,31300.0,32000.0,32600.0,33000.0,30800.0,31550.0
2017-03-06,30500,2017,3,10,0,30300.0,31300.0,32000.0,32600.0,30400.0,31025.0
2017-03-13,30700,2017,3,11,0,30500.0,30300.0,31300.0,32000.0,30600.0,30700.0
2017-03-20,30600,2017,3,12,0,30700.0,30500.0,30300.0,31300.0,30650.0,30525.0
2017-03-27,30400,2017,3,13,0,30600.0,30700.0,30500.0,30300.0,30500.0,30550.0
2017-04-03,29800,2017,4,14,0,30400.0,30600.0,30700.0,30500.0,30100.0,30375.0
2017-04-10,29500,2017,4,15,0,29800.0,30400.0,30600.0,30700.0,29650.0,30075.0
2017-04-17,28200,2017,4,16,0,29500.0,29800.0,30400.0,30600.0,28850.0,29475.0
2017-04-24,27500,2017,4,17,0,28200.0,29500.0,29800.0,30400.0,27850.0,28750.0
2017-05-01,26500,2017,5,18,0,27500.0,28200.0,29500.0,29800.0,27000.0,27925.0
2017-05-08,26300,2017,5,19,0,26500.0,27500.0,28200.0,29500.0,26400.0,27125.0
2017-05-15,26300,2017,5,20,0,26300.0,26500.0,27500.0,28200.0,26300.0,26650.0
2017-05-22,26200,2017,5,21,0,26300.0,26300.0,26500.0,27500.0,26250.0,26325.0
2017-05-29,26150,2017,5,22,0,26200.0,26300.0,26300.0,26500.0,26175.0,26237.5
2017-06-05,26150,2017,6,23,0,26150.0,26200.0,26300.0,26300.0,26150.0,26200.0
2017-06-12,26150,2017,6,24,0,26150.0,26150.0,26200.0,26300.0,26150.0,26162.5
2017-06-19,26350,2017,6,25,0,26150.0,26150.0,26150.0,26200.0,26250.0,26200.0
2017-06-26,26550,2017,6,26,0,26350.0,26150.0,26150.0,26150.0,26450.0,26300.0
2017-07-03,26650,2017,7,27,0,26550.0,26350.0,26150.0,26150.0,26600.0,26425.0
2017-07-10,28000,2017,7,28,0,26650.0,26550.0,26350.0,26150.0,27325.0,26887.5
2017-07-17,28800,2017,7,29,0,28000.0,26650.0,26550.0,26350.0,28400.0,27500.0
2017-07-24,29400,2017,7,30,0,28800.0,28000.0,26650.0,26550.0,29100.0,28212.5
2017-07-31,29400,2017,7,31,0,29400.0,28800.0,28000.0,26650.0,29400.0,28900.0
2017-08-07,30900,2017,8,32,0,29400.0,29400.0,28800.0,28000.0,30150.0,29625.0
2017-08-14,33900,2017,8,33,0,30900.0,29400.0,29400.0,28800.0,32400.0,30900.0
2017-08-21,35900,2017,8,34,0,33900.0,30900.0,29400.0,29400.0,34900.0,32525.0
2017-08-28,36800,2017,8,35,0,35900.0,33900.0,30900.0,29400.0,36350.0,34375.0
2017-09-04,38600,2017,9,36,0,36800.0,35900.0,33900.0,30900.0,37700.0,36300.0
2017-09-11,39600,2017,9,37,0,38600.0,36800.0,35900.0,33900.0,39100.0,37725.0
2017-09-18,38800,2017,9,38,0,39600.0,38600.0,36800.0,35900.0,39200.0,38450.0
2017-09-25,38800,2017,9,39,0,38800.0,39600.0,38600.0,36800.0,38800.0,38950.0
2017-10-02,37500,2017,10,40,0,38800.0,38800.0,39600.0,38600.0,38150.0,38675.0
2017-10-09,37000,2017,10,41,0,37500.0,38800.0,38800.0,39600.0,37250.0,38025.0
2017-10-16,35800,2017,10,42,0,37000.0,37500.0,38800.0,38800.0,36400.0,37275.0
2017-10-23,33800,2017,10,43,0,35800.0,37000.0,37500.0,38800.0,34800.0,36025.0
2017-10-30,31500,2017,10,44,0,33800.0,35800.0,37000.0,37500.0,32650.0,34525.0
2017-11-06,30000,2017,11,45,0,31500.0,33800.0,35800.0,37000.0,30750.0,32775.0
2017-11-13,32500,2017,11,46,0,30000.0,31500.0,33800.0,35800.0,31250.0,31950.0
2017-11-20,32500,2017,11,47,0,32500.0,30000.0,31500.0,33800.0,32500.0,31625.0
2017-11-27,32000,2017,11,48,0,32500.0,32500.0,30000.0,31500.0,32250.0,31750.0
2017-12-04,31500,2017,12,49,0,32000.0,32500.0,32500.0,30000.0,31750.0,32125.0
2017-12-11,31700,2017,12,50,0,31500.0,32000.0,32500.0,32500.0,31600.0,31925.0
2017-12-18,31800,2017,12,51,0,31700.0,31500.0,32000.0,32500.0,31750.0,31750.0
2017-12-25,34600,2017,12,52,0,31800.0,31700.0,31500.0,32000.0,33200.0,32400.0
2018-01-01,35600,2018,1,1,0,34600.0,31800.0,31700.0,31500.0,35100.0,33425.0
2018-01-08,35600,2018,1,2,0,35600.0,34600.0,31800.0,31700.0,35600.0,34400.0
2018-01-15,35600,2018,1,3,0,35600.0,35600.0,34600.0,31800.0,35600.0,35350.0
2018-01-22,35300,2018,1,4,0,35600.0,35600.0,35600.0,34600.0,35450.0,35525.0
2018-01-29,34500,2018,1,5,0,35300.0,35600.0,35600.0,35600.0,34900.0,35250.0
2018-02-05,33700,2018,2,6,0,34500.0,35300.0,35600.0,35600.0,34100.0,34775.0
2018-02-12,34000,2018,2,7,0,33700.0,34500.0,35300.0,35600.0,33850.0,34375.0
2018-02-19,33900,2018,2,8,0,34000.0,33700.0,34500.0,35300.0,33950.0,34025.0
2018-02-26,32700,2018,2,9,0,33900.0,34000.0,33700.0,34500.0,33300.0,33575.0
2018-03-05,32900,2018,3,10,0,32700.0,33900.0,34000.0,33700.0,32800.0,33375.0
2018-03-12,33300,2018,3,11,0,32900.0,32700.0,33900.0,34000.0,33100.0,33200.0
2018-03-19,33600,2018,3,12,0,33300.0,32900.0,32700.0,33900.0,33450.0,33125.0
2018-03-26,34800,2018,3,13,0,33600.0,33300.0,32900.0,32700.0,34200.0,33650.0
2018-04-02,36100,2018,4,14,0,34800.0,33600.0,33300.0,32900.0,35450.0,34450.0
2018-04-09,36100,2018,4,15,0,36100.0,34800.0,33600.0,33300.0,36100.0,35150.0
2018-04-16,35900,2018,4,16,0,36100.0,36100.0,34800.0,33600.0,36000.0,35725.0
2018-04-23,35900,2018,4,17,0,35900.0,36100.0,36100.0,34800.0,35900.0,36000.0
2018-04-30,36400,2018,4,18,0,35900.0,35900.0,36100.0,36100.0,36150.0,36075.0
2018-05-07,37900,2018,5,19,0,36400.0,35900.0,35900.0,36100.0,37150.0,36525.0
2018-05-14,37700,2018,5,20,0,37900.0,36400.0,35900.0,35900.0,37800.0,36975.0
2018-05-21,37900,2018,5,21,0,37700.0,37900.0,36400.0,35900.0,37800.0,37475.0
2018-05-28,37900,2018,5,22,0,37900.0,37700.0,37900.0,36400.0,37900.0,37850.0
2018-06-04,37600,2018,6,23,0,37900.0,37900.0,37700.0,37900.0,37750.0,37775.0
2018-06-11,37400,2018,6,24,0,37600.0,37900.0,37900.0,37700.0,37500.0,37700.0
2018-06-18,37400,2018,6,25,0,37400.0,37600.0,37900.0,37900.0,37400.0,37575.0
2018-06-25,37100,2018,6,26,0,37400.0,37400.0,37600.0,37900.0,37250.0,37375.0
2018-07-02,37100,2018,7,27,0,37100.0,37400.0,37400.0,37600.0,37100.0,37250.0
2018-07-09,37200,2018,7,28,0,37100.0,37100.0,37400.0,37400.0,37150.0,37200.0
2018-07-16,37800,2018,7,29,0,37200.0,37100.0,37100.0,37400.0,37500.0,37300.0
2018-07-23,37500,2018,7,30,0,37800.0,37200.0,37100.0,37100.0,37650.0,37400.0
2018-07-30,37500,2018,7,31,0,37500.0,37800.0,37200.0,37100.0,37500.0,37500.0
2018-08-06,39400,2018,8,32,0,37500.0,37500.0,37800.0,37200.0,38450.0,38050.0
2018-08-13,39650,2018,8,33,0,39400.0,37500.0,37500.0,37800.0,39525.0,38512.5
2018-08-20,40750,2018,8,34,0,39650.0,39400.0,37500.0,37500.0,40200.0,39325.0
2018-08-27,43100,2018,8,35,0,40750.0,39650.0,39400.0,37500.0,41925.0,40725.0
2018-09-03,48700,2018,9,36,0,43100.0,40750.0,39650.0,39400.0,45900.0,43050.0
2018-09-10,48850,2018,9,37,0,48700.0,43100.0,40750.0,39650.0,48775.0,45350.0
2018-09-17,48350,2018,9,38,0,48850.0,48700.0,43100.0,40750.0,48600.0,47250.0
2018-09-24,44600,2018,9,39,0,48350.0,48850.0,48700.0,43100.0,46475.0,47625.0
2018-10-01,42600,2018,10,40,0,44600.0,48350.0,48850.0,48700.0,43600.0,46100.0
2018-10-08,41500,2018,10,41,0,42600.0,44600.0,48350.0,48850.0,42050.0,44262.5
2018-10-15,40800,2018,10,42,0,41500.0,42600.0,44600.0,48350.0,41150.0,42375.0
2018-10-22,39700,2018,10,43,0,40800.0,41500.0,42600.0,44600.0,40250.0,41150.0
2018-10-29,39500,2018,10,44,0,39700.0,40800.0,41500.0,42600.0,39600.0,40375.0
2018-11-05,38800,2018,11,45,0,39500.0,39700.0,40800.0,41500.0,39150.0,39700.0
2018-11-12,38300,2018,11,46,0,38800.0,39500.0,39700.0,40800.0,38550.0,39075.0
2018-11-19,38000,2018,11,47,0,38300.0,38800.0,39500.0,39700.0,38150.0,38650.0
2018-11-26,37600,2018,11,48,0,38000.0,38300.0,38800.0,39500.0,37800.0,38175.0
2018-12-03,37600,2018,12,49,0,37600.0,38000.0,38300.0,38800.0,37600.0,37875.0
2018-12-10,37300,2018,12,50,0,37600.0,37600.0,38000.0,38300.0,37450.0,37625.0
2018-12-17,37000,2018,12,51,0,37300.0,37600.0,37600.0,38000.0,37150.0,37375.0
2018-12-24,36700,2018,12,52,0,37000.0,37300.0,37600.0,37600.0,36850.0,37150.0
2018-12-31,36000,2018,12,1,0,36700.0,37000.0,37300.0,37600.0,36350.0,36750.0
2019-01-07,36000,2019,1,2,0,36000.0,36700.0,37000.0,37300.0,36000.0,36425.0
2019-01-14,35700,2019,1,3,0,36000.0,36000.0,36700.0,37000.0,35850.0,36100.0
2019-01-21,35300,2019,1,4,0,35700.0,36000.0,36000.0,36700.0,35500.0,35750.0
2019-01-28,34000,2019,1,5,0,35300.0,35700.0,36000.0,36000.0,34650.0,35250.0
2019-02-04,33800,2019,2,6,0,34000.0,35300.0,35700.0,36000.0,33900.0,34700.0
2019-02-11,34550,2019,2,7,0,33800.0,34000.0,35300.0,35700.0,34175.0,34412.5
2019-02-18,36000,2019,2,8,0,34550.0,33800.0,34000.0,35300.0,35275.0,34587.5
2019-02-25,37700,2019,2,9,0,36000.0,34550.0,33800.0,34000.0,36850.0,35512.5
2019-03-04,40200,2019,3,10,0,37700.0,36000.0,34550.0,33800.0,38950.0,37112.5
2019-03-11,40200,2019,3,11,0,40200.0,37700.0,36000.0,34550.0,40200.0,38525.0
2019-03-18,39900,2019,3,12,0,40200.0,40200.0,37700.0,36000.0,40050.0,39500.0
2019-03-25,39400,2019,3,13,0,39900.0,40200.0,40200.0,37700.0,39650.0,39925.0
2019-04-01,39300,2019,4,14,0,39400.0,39900.0,40200.0,40200.0,39350.0,39700.0
2019-04-08,39500,2019,4,15,0,39300.0,39400.0,39900.0,40200.0,39400.0,39525.0
2019-04-15,39500,2019,4,16,0,39500.0,39300.0,39400.0,39900.0,39500.0,39425.0
2019-04-22,39300,2019,4,17,0,39500.0,39500.0,39300.0,39400.0,39400.0,39400.0
2019-04-29,39300,2019,4,18,0,39300.0,39500.0,39500.0,39300.0,39300.0,39400.0
2019-05-06,39300,2019,5,19,0,39300.0,39300.0,39500.0,39500.0,39300.0,39350.0
2019-05-13,40300,2019,5,20,0,39300.0,39300.0,39300.0,39500.0,39800.0,39550.0
2019-05-20,40000,2019,5,21,0,40300.0,39300.0,39300.0,39300.0,40150.0,39725.0
2019-05-27,40200,2019,5,22,0,40000.0,40300.0,39300.0,39300.0,40100.0,39950.0
2019-06-03,40200,2019,6,23,0,40200.0,40000.0,40300.0,39300.0,40200.0,40175.0
2019-06-10,40300,2019,6,24,0,40200.0,40200.0,40000.0,40300.0,40250.0,40175.0
2019-06-17,41500,2019,6,25,0,40300.0,40200.0,40200.0,40000.0,40900.0,40550.0
2019-06-24,40500,2019,6,26,0,41500.0,40300.0,40200.0,40200.0,41000.0,40625.0
2019-07-01,40500,2019,7,27,0,40500.0,41500.0,40300.0,40200.0,40500.0,40700.0
2019-07-08,40300,2019,7,28,0,40500.0,40500.0,41500.0,40300.0,40400.0,40700.0
2019-07-15,39800,2019,7,29,0,40300.0,40500.0,40500.0,41500.0,40050.0,40275.0
2019-07-22,39800,2019,7,30,0,39800.0,40300.0,40500.0,40500.0,39800.0,40100.0
2019-07-29,40200,2019,7,31,0,39800.0,39800.0,40300.0,40500.0,40000.0,40025.0
2019-08-05,40300,2019,8,32,0,40200.0,39800.0,39800.0,40300.0,40250.0,40025.0
2019-08-12,39200,2019,8,33,0,40300.0,40200.0,39800.0,39800.0,39750.0,39875.0
2019-08-19,38700,2019,8,34,0,39200.0,40300.0,40200.0,39800.0,38950.0,39600.0
2019-08-26,38200,2019,8,35,0,38700.0,39200.0,40300.0,40200.0,38450.0,39100.0
2019-09-02,37700,2019,9,36,0,38200.0,38700.0,39200.0,40300.0,37950.0,38450.0
2019-09-09,36900,2019,9,37,0,37700.0,38200.0,38700.0,39200.0,37300.0,37875.0
2019-09-16,36200,2019,9,38,0,36900.0,37700.0,38200.0,38700.0,36550.0,37250.0
2019-09-23,35000,2019,9,39,0,36200.0,36900.0,37700.0,38200.0,35600.0,36450.0
2019-09-30,34200,2019,9,40,0,35000.0,36200.0,36900.0,37700.0,34600.0,35575.0
2019-10-07,33500,2019,10,41,0,34200.0,35000.0,36200.0,36900.0,33850.0,34725.0
2019-10-14,33300,2019,10,42,0,33500.0,34200.0,35000.0,36200.0,33400.0,34000.0
2019-10-21,33500,2019,10,43,0,33300.0,33500.0,34200.0,35000.0,33400.0,33625.0
2019-10-28,33300,2019,10,44,0,33500.0,33300.0,33500.0,34200.0,33400.0,33400.0
2019-11-04,33800,2019,11,45,0,33300.0,33500.0,33300.0,33500.0,33550.0,33475.0
2019-11-11,33500,2019,11,46,0,33800.0,33300.0,33500.0,33300.0,33650.0,33525.0
2019-11-18,32300,2019,11,47,0,33500.0,33800.0,33300.0,33500.0,32900.0,33225.0
2019-11-25,32200,2019,11,48,0,32300.0,33500.0,33800.0,33300.0,32250.0,32950.0
2019-12-02,31800,2019,12,49,0,32200.0,32300.0,33500.0,33800.0,32000.0,32450.0
2019-12-09,31100,2019,12,50,0,31800.0,32200.0,32300.0,33500.0,31450.0,31850.0
2019-12-16,30600,2019,12,51,0,31100.0,31800.0,32200.0,32300.0,30850.0,31425.0
2019-12-23,31400,2019,12,52,0,30600.0,31100.0,31800.0,32200.0,31000.0,31225.0
2019-12-30,32900,2019,12,1,0,31400.0,30600.0,31100.0,31800.0,32150.0,31500.0
2020-01-06,32900,2020,1,2,0,32900.0,31400.0,30600.0,31100.0,32900.0,31950.0
2020-01-13,33400,2020,1,3,0,32900.0,32900.0,31400.0,30600.0,33150.0,32650.0
2020-01-20,32500,2020,1,4,0,33400.0,32900.0,32900.0,31400.0,32950.0,32925.0
2020-01-27,32890,2020,1,5,0,32500.0,33400.0,32900.0,32900.0,32695.0,32922.5
2020-02-03,33400,2020,2,6,0,32890.0,32500.0,33400.0,32900.0,33145.0,33047.5
2020-02-10,32800,2020,2,7,0,33400.0,32890.0,32500.0,33400.0,33100.0,32897.5
2020-02-17,32000,2020,2,8,0,32800.0,33400.0,32890.0,32500.0,32400.0,32772.5
2020-02-24,31500,2020,2,9,0,32000.0,32800.0,33400.0,32890.0,31750.0,32425.0
2020-03-02,32500,2020,3,10,0,31500.0,32000.0,32800.0,33400.0,32000.0,32200.0
2020-03-09,33500,2020,3,11,0,32500.0,31500.0,32000.0,32800.0,33000.0,32375.0
2020-03-16,34000,2020,3,12,0,33500.0,32500.0,31500.0,32000.0,33750.0,32875.0
2020-03-23,35000,2020,3,13,0,34000.0,33500.0,32500.0,31500.0,34500.0,33750.0
2020-03-30,35000,2020,3,14,0,35000.0,34000.0,33500.0,32500.0,35000.0,34375.0
2020-04-06,34500,2020,4,15,0,35000.0,35000.0,34000.0,33500.0,34750.0,34625.0
2020-04-13,34000,2020,4,16,0,34500.0,35000.0,35000.0,34000.0,34250.0,34625.0
2020-04-20,33500,2020,4,17,0,34000.0,34500.0,35000.0,35000.0,33750.0,34250.0
2020-04-27,33500,2020,4,18,0,33500.0,34000.0,34500.0,35000.0,33500.0,33875.0
2020-05-04,33500,2020,5,19,0,33500.0,33500.0,34000.0,34500.0,33500.0,33625.0
2020-05-11,33500,2020,5,20,0,33500.0,33500.0,33500.0,34000.0,33500.0,33500.0
2020-05-18,33500,2020,5,21,0,33500.0,33500.0,33500.0,33500.0,33500.0,33500.0
2020-05-25,33500,2020,5,22,0,33500.0,33500.0,33500.0,33500.0,33500.0,33500.0
2020-06-01,33000,2020,6,23,0,33500.0,33500.0,33500.0,33500.0,33250.0,33375.0
